address,county,bed,bath,prop_type,area,price,price_n
"The Beeches, Coosan, Athlone, Co. Westmeath", Co. Westmeath,4 Bed,3 Bath,Detached,202 m²,"€550,000",550000.0
"Millview Road, Kanturk, Co. Cork", Co. Cork,4 Bed,2 Bath,Detached,167 m²,Price on Application,0.0
"Site at Lartigue Drive, Derra East, Listowel, Co. Kerry", Co. Kerry,,,Site,0.5 ac,"€49,000",49000.0
"70 Castletimon Road, Kilmore, Dublin 5", Dublin 5,3 Bed,1 Bath,End of Terrace,98 m²,"€375,000",375000.0
"29 The Showgrounds, Rathdowney, Co. Laois", Co. Laois,3 Bed,3 Bath,Semi-D,109 m²,"€145,000",145000.0
"Fawn, Dromahair, Co. Leitrim", Co. Leitrim,,,Site,1.26 ac,"AMV: €400,000",400000.0
"-, 4 Rundale Cottages, Cleaheen, Carrick On Shannon, Co. Roscommon, Carrick-on-Shannon, Co. Leitrim", Co. Leitrim,3 Bed,3 Bath,Detached,,"€175,000",175000.0
"84 Charlesland Park, Greystones, Co. Wicklow", Co. Wicklow,2 Bed,2 Bath,Terrace,,"€380,000",380000.0
"8 Pairc Na Bearna, Enniscorthy, Co. Wexford", Co. Wexford,3 Bed,2 Bath,Semi-D,92 m²,"€199,500",199500.0
"Magheragallon, Derrybeg, Co. Donegal", Co. Donegal,3 Bed,2 Bath,Detached,,"€219,950",219950.0
"148 Greenwood Estate, Togher, Togher (Cork City), Co. Cork", Co. Cork,3 Bed,3 Bath,Semi-D,92 m²,"€285,000",285000.0
"Pride O'Morn, Bogland, Arklow, Co. Wicklow", Co. Wicklow,3 Bed,2 Bath,Detached,105 m²,"€350,000",350000.0
"Kilnagross, Carrick-on-Shannon, Co. Leitrim", Co. Leitrim,4 Bed,2 Bath,Detached,124 m²,"€279,950",279950.0
"Moyrus, Carna, Co. Galway", Co. Galway,,,Site,0.5 ac,"€35,000",35000.0
"Apartment 45, Orwell Gate, Rathgar, Dublin 6", Dublin 6,2 Bed,2 Bath,Apartment,96 m²,"€675,000",675000.0
"145 Philipsburgh Avenue, Fairview, Dublin 3", Dublin 3,5 Bed,2 Bath,Semi-D,,"€595,000",595000.0
"Oakwood House, Ballyanrahan East, Patrickswell, Co. Limerick", Co. Limerick,4 Bed,3 Bath,Detached,209 m²,"€395,000",395000.0
"Apartment 5, 73/74 Meath Street, Dublin 8", Dublin 8,2 Bed,1 Bath,Apartment,,"€315,000",315000.0
"101 Limekiln Green, Walkinstown",,3 Bed,2 Bath,Terrace,,"€299,950",299950.0
"Melrose, 43 Templemichael Glebe, Longford Town, Co. Longford", Co. Longford,4 Bed,2 Bath,Bungalow,125 m²,"€179,000",179000.0
"1 Rockwell, Ballydehob, Co. Cork", Co. Cork,3 Bed,1 Bath,End of Terrace,86 m²,"€210,000",210000.0
"Apartment 42, The Baily, Custom House Harbour Apartments, IFSC, Dublin 1", Dublin 1,2 Bed,1 Bath,Apartment,57 m²,"€320,000",320000.0
"Apartment 47, Grange View Place, Clondalkin, Dublin 22", Dublin 22,2 Bed,1 Bath,Apartment,58 m²,"€185,000",185000.0
"179 Roseberry Hill, Newbridge, Co. Kildare", Co. Kildare,3 Bed,3 Bath,Semi-D,96 m²,"€295,000",295000.0
"Knockfenora, Bruree, Co. Limerick", Co. Limerick,3 Bed,1 Bath,Detached,,Price on Application,0.0
"60 Hunters Lane, Hunterswood, Ballycullen, Dublin 24", Dublin 24,4 Bed,3 Bath,Semi-D,149 m²,"€495,000",495000.0
"Castle Avenue, Castle Street, Roscommon Town, Co. Roscommon", Co. Roscommon,,,Site,0.13 ac,"€75,000",75000.0
"216 Grange Road, Rathfarnham, Dublin 16", Dublin 16,4 Bed,3 Bath,Detached,145 m²,"€675,000",675000.0
"37 Birchview Drive, Kilnamanagh, Dublin 24", Dublin 24,3 Bed,1 Bath,Semi-D,86 m²,"€365,000",365000.0
"3 Fitzgerald Place, Old, Blackrock, Co. Cork", Co. Cork,3 Bed,1 Bath,Terrace,67 m²,"€125,000",125000.0
"Main Street, Liscannor, Co. Clare", Co. Clare,1 Bed,,Terrace,,Price on Application,0.0
"12 Garrai Sheain, Roscam, Co. Galway", Co. Galway,2 Bed,2 Bath,Terrace,69 m²,"€225,000",225000.0
"Rylanes, Ballingarry, Co. Limerick", Co. Limerick,3 Bed,1 Bath,Bungalow,,"€170,000",170000.0
"162 Gort Na Coiribe, Headford Road, Co. Galway", Co. Galway,2 Bed,2 Bath,Apartment,76 m²,"€260,000",260000.0
"10 Garrai Sheain, Roscam, Co. Galway", Co. Galway,3 Bed,3 Bath,End of Terrace,100 m²,"€275,000",275000.0
"134 Caireal Mor, Headford Road, Castlegar, Co. Galway", Co. Galway,3 Bed,3 Bath,Semi-D,119 m²,"€328,000",328000.0
"68 Hybreasal House, South Circular Road, Kilmainham, Dublin 8", Dublin 8,1 Bed,1 Bath,Apartment,38 m²,"€245,000",245000.0
"13 McCurtain Street, Fermoy, Co. Cork", Co. Cork,3 Bed,1 Bath,Townhouse,,"€130,000",130000.0
"Oldmill, Rosslare Harbour, Co. Wexford", Co. Wexford,,,Site,11.67 ac,AMV: Price on Application,0.0
"Newpark, Sixmilebridge, Co. Clare", Co. Clare,5 Bed,3 Bath,Detached,224 m²,"€425,000",425000.0
"Oldmill, Rosslare Harbour, Co. Wexford", Co. Wexford,4 Bed,2 Bath,Bungalow,200 m²,AMV: Price on Application,0.0
"Derryconnell, Schull, Co. Cork", Co. Cork,4 Bed,4 Bath,Detached,253 m²,"€380,000",380000.0
"30 The Drumlins, Virginia, Co. Cavan", Co. Cavan,4 Bed,3 Bath,Semi-D,,"€229,500",229500.0
"Apartment 12, Moynihan Court, Tallaght, Dublin 24", Dublin 24,2 Bed,1 Bath,Apartment,50 m²,"€150,000",150000.0
"Loughview, Curnalee, Curraghboy, Co. Roscommon", Co. Roscommon,4 Bed,2 Bath,Detached,139 m²,"€480,000",480000.0
"62 Lower Main Street, Letterkenny, Co. Donegal", Co. Donegal,3 Bed,1 Bath,Townhouse,,"€75,000",75000.0
"170 Rathmines Road Lower, Rathmines, Dublin 6", Dublin 6,7 Bed,3 Bath,Terrace,278 m²,Price on Application,0.0
"44 Mount Sion Road, Greenmount, Co. Cork", Co. Cork,3 Bed,1 Bath,End of Terrace,74 m²,"€250,000",250000.0
"1 Rock Grove Square, Lower Glanmire Road, Co. Cork", Co. Cork,2 Bed,1 Bath,Terrace,74 m²,"€185,000",185000.0
"53 Kilkee House, Clare Village, Clarehall, Dublin 13", Dublin 13,1 Bed,1 Bath,Apartment,54 m²,"€180,000",180000.0
"7 Johnsgate Village, Johnsgate, Co. Limerick", Co. Limerick,3 Bed,1 Bath,Terrace,,"€145,000",145000.0
"Saint Bernadette's, Firhouse Road, Firhouse, Dublin 24", Dublin 24,3 Bed,1 Bath,Detached,,"€425,000",425000.0
"New Line, Ardmore, Co. Waterford", Co. Waterford,3 Bed,1 Bath,Bungalow,,"€495,000",495000.0
"6 Mount Bellew Way, Lucan, Co. Dublin", Co. Dublin,3 Bed,2 Bath,Duplex,96 m²,"€295,000",295000.0
"32 Church View, Dromiskin, Co. Louth", Co. Louth,3 Bed,1 Bath,Terrace,81 m²,"€185,000",185000.0
"283 Blarney Street, Co. Cork", Co. Cork,2 Bed,1 Bath,Terrace,71 m²,"€169,000",169000.0
"Umgall Bridge, Malin, Co. Donegal", Co. Donegal,3 Bed,1 Bath,Detached,,"€140,000",140000.0
"Moatfarrelll, Edgeworthstown, Co. Longford", Co. Longford,3 Bed,1 Bath,Bungalow,,"€195,000",195000.0
"12 Dún An Rí, Ballintogher, Co. Sligo", Co. Sligo,4 Bed,2 Bath,Semi-D,109 m²,"€169,000",169000.0
"Loretto, Cootehill Road, Shercock, Co. Cavan", Co. Cavan,2 Bed,1 Bath,Bungalow,75 m²,"€125,000",125000.0
"5 Pier Cove, Ballykissane, Killorglin, Co. Kerry", Co. Kerry,4 Bed,4 Bath,Detached,186 m²,"€345,000",345000.0
"48 Castlebyrne Park, Blackrock, Co. Dublin", Co. Dublin,3 Bed,3 Bath,End of Terrace,133 m²,"€594,950",594950.0
"Apartment 1, Lindsay House, Dean Court, Dublin 8", Dublin 8,2 Bed,1 Bath,Apartment,,"€250,000",250000.0
"8 Lock-Keepers Walk, Royal Canal Park, Ashtown, Dublin 15", Dublin 15,3 Bed,3 Bath,Terrace,97 m²,"€350,000",350000.0
"84 Saint Columbanus' Road, Milltown, Dublin 6", Dublin 6,4 Bed,2 Bath,Terrace,97 m²,"€460,000",460000.0
"14 Bryanstown Manor, Dublin Road, Drogheda, Co. Louth", Co. Louth,4 Bed,3 Bath,Semi-D,,"€265,000",265000.0
"Sheepgrange, Tullyallen, Co. Louth", Co. Louth,4 Bed,2 Bath,Bungalow,158 m²,"€320,000",320000.0
"6 Saint Andrew's Terrace, Newtown Road, Co. Waterford", Co. Waterford,5 Bed,2 Bath,Terrace,230 m²,"€435,000",435000.0
"Ballynahattina, Mountbellew, Co. Galway", Co. Galway,,,Site,0.5 ac,"€30,000",30000.0
"Mitchelstown Road, Cahir, Co. Tipperary", Co. Tipperary,3 Bed,1 Bath,Detached,,"€135,000",135000.0
"Wincroft House, Newtownbutler Road, Clones, Co. Monaghan", Co. Monaghan,4 Bed,1 Bath,Semi-D,149 m²,"€150,000",150000.0
"Gouganes, Banteer, Co. Cork", Co. Cork,,,Site,0.5 ac,"€50,000",50000.0
"17 Orchard Drive, Ursuline Court, Waterford, Co. Waterford", Co. Waterford,5 Bed,2 Bath,Semi-D,,"€280,000",280000.0
"Moher, Lanesborough, Co. Longford", Co. Longford,4 Bed,2 Bath,Bungalow,,"€350,000",350000.0
"25 Dun Na Coiribe, Headford Road, Co. Galway", Co. Galway,2 Bed,2 Bath,Apartment,67 m²,"€255,000",255000.0
"127 Hazelwood, Gorey, Co. Wexford", Co. Wexford,3 Bed,2 Bath,Detached,129 m²,"€275,000",275000.0
"Mountfin, Ballycarney, Enniscorthy, Co. Wexford", Co. Wexford,5 Bed,2 Bath,Detached,164 m²,"€235,000",235000.0
"Hillview House, Ferns, Co. Wexford", Co. Wexford,5 Bed,2 Bath,Detached,158 m²,"€265,000",265000.0
"Glashbeggan, Burtonport, Co. Donegal", Co. Donegal,4 Bed,3 Bath,Detached,297 m²,"€449,950",449950.0
"Cotten, Derrybeg, Co. Donegal", Co. Donegal,7 Bed,7 Bath,Detached,221 m²,"€295,000",295000.0
"Roshine Acres, Burtonport, Co. Donegal", Co. Donegal,4 Bed,1 Bath,Detached,254 m²,"€340,000",340000.0
"Quay Road, Dungloe, Co. Donegal", Co. Donegal,4 Bed,1 Bath,Detached,,"€375,000",375000.0
"27 Kelly's Bay Heights, Skerries, Co. Dublin", Co. Dublin,2 Bed,,Apartment,,"€225,000",225000.0
"One The Paddocks Ulverton Road Dalkey, Dalkey, Co. Dublin", Co. Dublin,5 Bed,5 Bath,Detached,268 m²,"€1,850,000",1850000.0
"Ballincurry, Glinsk, Co. Galway", Co. Galway,3 Bed,1 Bath,Detached,,"€180,000",180000.0
"367 Saint Colmans Terrace, South Circular Road, Dublin 8", Dublin 8,3 Bed,2 Bath,End of Terrace,90 m²,"€350,000",350000.0
"Drummeel, Ballinalee, Co. Longford", Co. Longford,4 Bed,3 Bath,Detached,,"€250,000",250000.0
"Apartment 66, Alen Hall, Belgard Square, Tallaght, Dublin 24", Dublin 24,2 Bed,2 Bath,Apartment,,"€240,000",240000.0
"Clonattin Road, Gorey, Co. Wexford", Co. Wexford,3 Bed,3 Bath,Semi-D,109 m²,"€280,000",280000.0
"The Fairy Lane, Tomsilla Upper, Gorey, Co. Wexford", Co. Wexford,6 Bed,4 Bath,Detached,286 m²,"€575,000",575000.0
"Apartment 11, Woodlands View, Navan, Co. Meath", Co. Meath,1 Bed,1 Bath,Apartment,35 m²,"€149,000",149000.0
"16 Beechurst, Killarney Road, Bray, Co. Wicklow", Co. Wicklow,4 Bed,3 Bath,Detached,,"€725,000",725000.0
"302 River Forest, Leixlip, Co. Kildare", Co. Kildare,3 Bed,1 Bath,Semi-D,91 m²,"€330,000",330000.0
"12 Hill View, Ballinlough, Co. Roscommon", Co. Roscommon,4 Bed,3 Bath,Detached,150 m²,"€190,000",190000.0
"47 Highfield Manor, Mullins Lane, Graiguecullen, Co. Carlow", Co. Carlow,3 Bed,3 Bath,Terrace,94 m²,"€180,000",180000.0
"25 Bracklin Park, Edgeworthstown, Co. Longford", Co. Longford,3 Bed,3 Bath,Semi-D,,"€140,000",140000.0
"Apartment 9, Woodlands View, Navan, Co. Meath", Co. Meath,1 Bed,1 Bath,Apartment,36 m²,"€149,000",149000.0
"3 Dunboy, Brighton Road, Foxrock, Dublin 18", Dublin 18,5 Bed,4 Bath,Detached,,"€1,285,000",1285000.0
"9 Barronsfield, Ramsgrange, Co. Wexford", Co. Wexford,4 Bed,3 Bath,Detached,147 m²,"€240,000",240000.0
"28 Liffey Mill, Athgarvan, Newbridge, Co. Kildare", Co. Kildare,2 Bed,1 Bath,Bungalow,,"€235,000",235000.0
"24 Saint Albans Road, South Circular Road, Dublin 8", Dublin 8,2 Bed,1 Bath,Terrace,96 m²,"€645,000",645000.0
"1 Mill Place, Bandon, Co. Cork", Co. Cork,3 Bed,3 Bath,Semi-D,165 m²,"€349,000",349000.0
"22 Cedarville, Abbeyfeale, Co. Limerick", Co. Limerick,3 Bed,3 Bath,Semi-D,103 m²,"€170,000",170000.0
"Banogue, Gorey, Co. Wexford", Co. Wexford,3 Bed,1 Bath,Detached,135 m²,"€180,000",180000.0
"Lisnagloos, Craughwell, Co. Galway", Co. Galway,3 Bed,2 Bath,Detached,117 m²,"€220,000",220000.0
"Apartment 4, Saint Lua's, Iona Drive, North Circular Road, Co. Limerick", Co. Limerick,2 Bed,2 Bath,Apartment,113 m²,"€340,000",340000.0
"Ballyferriter West, Dingle, Co. Kerry", Co. Kerry,3 Bed,3 Bath,Bungalow,194 m²,"€385,000",385000.0
"11 The Park Avenue, Strandhill Road, Sligo, Co. Sligo", Co. Sligo,4 Bed,3 Bath,Detached,125 m²,"€359,000",359000.0
"Villa Di Este, Porterstown Road, D15X4CC, Castleknock, Dublin 15", Dublin 15,4 Bed,2 Bath,Bungalow,142 m²,"€950,000",950000.0
"34 Saint Alphonsus Villas, Dundalk, Co. Louth", Co. Louth,3 Bed,1 Bath,Terrace,,"€195,000",195000.0
"29 Pearse Park, Drogheda, Co. Louth", Co. Louth,3 Bed,2 Bath,Terrace,,"€185,000",185000.0
"28 Tower Drive, Ballyduff, Co. Kerry", Co. Kerry,3 Bed,2 Bath,Semi-D,100 m²,"€139,000",139000.0
"Liscahill, Edgeworthstown, Co. Longford", Co. Longford,4 Bed,2 Bath,Detached,,"AMV: €165,000",165000.0
"147 Terenure Road West, Terenure, Dublin 6", Dublin 6,3 Bed,2 Bath,Semi-D,126 m²,"€800,000",800000.0
"Gortnabrade, Carrigart, Co. Donegal", Co. Donegal,4 Bed,3 Bath,Detached,141 m²,"€215,000",215000.0
"Radua, 19 Keadue, Cavan, Co. Cavan", Co. Cavan,4 Bed,2 Bath,Semi-D,116 m²,"€195,000",195000.0
"42 Hazelwood Park, Elphin, Co. Roscommon", Co. Roscommon,3 Bed,3 Bath,Semi-D,,"€125,000",125000.0
"64 Merrion Village, Ballsbridge, Dublin 4", Dublin 4,2 Bed,1 Bath,Apartment,50 m²,"€400,000",400000.0
"Riverston Lands C.2.4 Hec (6 Acres), Dublin Road, Nenagh, Co. Tipperary", Co. Tipperary,,,Site,6 ac,"AMV: €120,000",120000.0
"69 Lansdowne Park, Knocklyon Road, Knocklyon, Dublin 16", Dublin 16,5 Bed,2 Bath,Detached,142 m²,"€595,000",595000.0
"Apartment 6 Killoran House, Catherine Place, Co. Limerick", Co. Limerick,2 Bed,1 Bath,Apartment,,"€190,000",190000.0
"17 Milesian Grove, Swords, Co. Dublin", Co. Dublin,3 Bed,3 Bath,Semi-D,97 m²,"€420,000",420000.0
"10 Rosehill, O'Callaghan, Strand, Co. Limerick", Co. Limerick,3 Bed,3 Bath,Terrace,108 m²,"€335,000",335000.0
"8 Brickfield Drive, Honeypark, Dun Laoghaire, Co. Dublin", Co. Dublin,5 Bed,3 Bath,Terrace,202 m²,"€875,000",875000.0
"55 The Lane, Ratoath, Co. Meath", Co. Meath,3 Bed,3 Bath,Terrace,87 m²,"€290,000",290000.0
"3 Lindsay Grove, Glasnevin, Dublin 9", Dublin 9,3 Bed,2 Bath,Terrace,90 m²,"€465,000",465000.0
"5 Pier Cottages, Pier Road, Kenmare, Co. Kerry", Co. Kerry,,,End of Terrace,,"AMV: €295,000",295000.0
"Ballinastraw, Bunclody, Co. Wexford", Co. Wexford,3 Bed,3 Bath,Detached,150 m²,"€245,000",245000.0
"Ballina Upper, Ballymurn, Enniscorthy, Co. Wexford", Co. Wexford,4 Bed,2 Bath,Bungalow,,"€285,000",285000.0
"15 Sandford Avenue, Donnybrook, Dublin 4", Dublin 4,3 Bed,2 Bath,Terrace,100 m²,"€785,000",785000.0
"Laburnum Cottage, Kilgobbin Road, Sandyford, Dublin 18", Dublin 18,3 Bed,3 Bath,Bungalow,158 m²,"€675,000",675000.0
"20 Watson Road, Killiney, Co. Dublin", Co. Dublin,4 Bed,3 Bath,Detached,230 m²,"€750,000",750000.0
"127 Cashel Road, Crumlin, Dublin 12", Dublin 12,2 Bed,1 Bath,End of Terrace,,"€289,950",289950.0
"71 Stannaway Avenue, Crumlin, Dublin 12", Dublin 12,2 Bed,1 Bath,Semi-D,68 m²,"€315,000",315000.0
"174 Kilworth Road, Drimnagh, Dublin 12", Dublin 12,2 Bed,1 Bath,Terrace,81 m²,"€299,995",299995.0
"52 Drimnagh Road, Drimnagh, Dublin 12", Dublin 12,3 Bed,1 Bath,Semi-D,,"€425,000",425000.0
"89 Aughavanagh Road, Crumlin, Dublin 12", Dublin 12,2 Bed,1 Bath,Terrace,60 m²,"€360,000",360000.0
"4 St. Kevin's Place Donovan Lane Blackpitts Dublin 8, Dublin 8", Dublin 8,4 Bed,3 Bath,End of Terrace,200 m²,"€1,100,000",1100000.0
"5 Cunningham Park Cornelscourt Foxrock Dublin 18, Foxrock, Dublin 18", Dublin 18,4 Bed,2 Bath,Semi-D,167 m²,"€595,000",595000.0
"Carnamoyle, Muff, Co. Donegal", Co. Donegal,4 Bed,4 Bath,Detached,,"€330,000",330000.0
"40 The Beeches, Drumgola Wood, Cavan, Co. Cavan", Co. Cavan,3 Bed,3 Bath,Semi-D,118 m²,"€169,000",169000.0
"Breenagh, Letterkenny, Co. Donegal", Co. Donegal,,,Site,,Price on Application,0.0
"88 Glenheights Park, Ballyvolane, Co. Cork", Co. Cork,3 Bed,1 Bath,Terrace,82 m²,"€190,000",190000.0
"25 Chandlers Rest, Rushbrooke Links, Cobh, Co. Cork", Co. Cork,1 Bed,1 Bath,Apartment,600 m²,"€155,000",155000.0
"Sonas, Monaree, Dingle, Co. Kerry", Co. Kerry,4 Bed,2 Bath,Detached,,"€400,000",400000.0
"Abbey St, Ballyhaunis, Co. Mayo", Co. Mayo,,,Site,0.01 ac,"€55,000",55000.0
"11 Carrigmore Grove, Aylesbury, Dublin 24", Dublin 24,2 Bed,1 Bath,Terrace,,"€274,950",274950.0
"Shannawoneen, Spiddal, Co. Galway", Co. Galway,,,Site,0.35 ac,"€30,000",30000.0
"Lucas, Ballindooley, Co. Galway", Co. Galway,5 Bed,3 Bath,Detached,180 m²,"€375,000",375000.0
"49 Palace Crescent, Ardnacassa",,3 Bed,1 Bath,Semi-D,95 m²,"€89,500",89500.0
"11 Beech Grove, Castlebellingham, Co. Louth", Co. Louth,4 Bed,2 Bath,Detached,140 m²,"€285,000",285000.0
"17 Millrose Estate, Bluebell, Dublin 12", Dublin 12,3 Bed,1 Bath,Terrace,73 m²,"€265,000",265000.0
"13 James Street, Clonmel, Co. Tipperary", Co. Tipperary,3 Bed,1 Bath,Terrace,52 m²,"€95,000",95000.0
"C. 1 Acre Site At Green Road, Dunmahon, Dromiskin, Dundalk, Co. Louth", Co. Louth,,,Site,1 ac,"€90,000",90000.0
"1 Glenview Heights, Gortnacarriga, Killarney, Co. Kerry", Co. Kerry,4 Bed,4 Bath,Bungalow,0.9 ac,"€425,000",425000.0
"Coolecarra, Curreeney, Thurles, Co. Tipperary", Co. Tipperary,3 Bed,2 Bath,Detached,104 m²,"€150,000",150000.0
"15 Ryecourt Manor, Cloughduv, Ballincollig, Co. Cork", Co. Cork,3 Bed,3 Bath,Terrace,125 m²,"€270,000",270000.0
"Mill Street Cottages, Mill Street, Swinford, Co. Mayo", Co. Mayo,2 Bed,2 Bath,Semi-D,,"€75,000",75000.0
"Apartment 34, Kittiwake, Skerries, Co. Dublin", Co. Dublin,2 Bed,2 Bath,Apartment,91 m²,"€350,000",350000.0
"17 Obelisk Avenue, Saint Augustine's Park, Blackrock, Co. Dublin", Co. Dublin,2 Bed,2 Bath,End of Terrace,74 m²,"€470,000",470000.0
"47 The Park, Athlumney Wood, Navan, Co. Meath", Co. Meath,3 Bed,3 Bath,Terrace,109 m²,"€225,000",225000.0
"Apartment 30, Block B2, The Bottle Works, Ringsend, Dublin 4", Dublin 4,2 Bed,2 Bath,Apartment,63 m²,"€410,000",410000.0
"1A Butterfield Grove, Rathfarnham, Dublin 14", Dublin 14,3 Bed,2 Bath,Detached,154 m²,"€945,000",945000.0
"Site 35 Roney Point, Askingarran Lower, Courtown, Co. Wexford", Co. Wexford,,,Site,0.28 ac,"€160,000",160000.0
"2 Silvermount Cottages, Strawberry Beds, Co. Dublin", Co. Dublin,2 Bed,1 Bath,Semi-D,80 m²,"€390,000",390000.0
"Apartment 7, Broker House, Pawn Office Lane, Killarney, Co. Kerry", Co. Kerry,2 Bed,1 Bath,Apartment,70 m²,"€160,000",160000.0
"Apartment 6, The Court, Clonard, Co. Wexford", Co. Wexford,2 Bed,2 Bath,Apartment,73 m²,"€150,000",150000.0
"3 Saint Cronan's Avenue, Swords, Co. Dublin", Co. Dublin,4 Bed,1 Bath,Terrace,109 m²,"€298,000",298000.0
"9 Fern Close, Kilmoney, Carrigaline, Co. Cork", Co. Cork,3 Bed,3 Bath,Semi-D,95 m²,"€285,000",285000.0
"18 Barrow Mount Drive, Goresbridge, Co. Kilkenny", Co. Kilkenny,3 Bed,1 Bath,Semi-D,,"€130,000",130000.0
"41 Sundale Parade, Tallaght, Dublin 24", Dublin 24,3 Bed,2 Bath,Semi-D,84 m²,"€245,000",245000.0
"20 Abbeygate, Dublin Road, Monasterevin, Co. Kildare", Co. Kildare,3 Bed,2 Bath,Semi-D,112 m²,"€250,000",250000.0
"37 Hilltown Grove, Rivervalley, Swords, Co. Dublin", Co. Dublin,4 Bed,3 Bath,Semi-D,106 m²,"€395,000",395000.0
"Mews 2, Rear 93 Booterstown Avenue, Booterstown, Co. Dublin", Co. Dublin,2 Bed,2 Bath,End of Terrace,85 m²,"€645,000",645000.0
"94 Bryanstown Manor, Dublin Road, Drogheda, Co. Louth", Co. Louth,3 Bed,3 Bath,Semi-D,96 m²,"€245,000",245000.0
"Ardhaven House, Clonard Road, Clonard, Co. Wexford", Co. Wexford,6 Bed,5 Bath,Detached,,"€435,000",435000.0
"211 Battery Heights, Athlone, Co. Westmeath", Co. Westmeath,3 Bed,1 Bath,Terrace,,Price on Application,0.0
"50 Castlehill Park, Turlough Road, Castlebar, Co. Mayo", Co. Mayo,2 Bed,1 Bath,End of Terrace,,"€150,000",150000.0
"Artigallivan, Killarney, Co. Kerry", Co. Kerry,4 Bed,2 Bath,Bungalow,,"€320,000",320000.0
"19 Drowes Close, Tullaghan, Co. Leitrim", Co. Leitrim,3 Bed,2 Bath,Semi-D,,"€149,950",149950.0
"Chatsworth, Clogh, Castlecomer, Co. Kilkenny", Co. Kilkenny,4 Bed,2 Bath,Detached,224 m²,"€550,000",550000.0
"2 Knockthomas, Castlebar, Co. Mayo", Co. Mayo,4 Bed,3 Bath,Semi-D,,"€220,000",220000.0
"Apartment 47, 125 Francis Street, Dublin 8", Dublin 8,2 Bed,1 Bath,Apartment,52 m²,"€295,000",295000.0
"Site at Grace Dieu, Ballyboughal, Co. Dublin", Co. Dublin,,,Site,1.3 ac,"€220,000",220000.0
"10 Royse Road, Phibsborough, Dublin 7", Dublin 7,3 Bed,1 Bath,End of Terrace,128 m²,"€525,000",525000.0
"Flat 1, 6 Mountjoy Square North, Dublin 1", Dublin 1,2 Bed,1 Bath,Apartment,62 m²,"€290,000",290000.0
"The Lodge, Grace Park Road, Drumcondra, Dublin 3", Dublin 3,1 Bed,1 Bath,Detached,32 m²,"€350,000",350000.0
"Carna, Suncroft, Kilcullen, Co. Kildare", Co. Kildare,3 Bed,1 Bath,Detached,129 m²,"€295,000",295000.0
"Tenacre, Kilrane, Co. Wexford", Co. Wexford,4 Bed,1 Bath,Bungalow,128 m²,"€310,000",310000.0
"Carheens, Tourmakeady, Co. Mayo", Co. Mayo,3 Bed,1 Bath,Detached,,"€100,000",100000.0
"26 Seatown, Dundalk, Co. Louth", Co. Louth,4 Bed,1 Bath,Terrace,,"€175,000",175000.0
"75 Drisin, Ballymoneen Road, Knocknacarra, Co. Galway", Co. Galway,3 Bed,2 Bath,End of Terrace,105 m²,"€295,000",295000.0
"15 Beaufield Green, Maynooth, Co. Kildare", Co. Kildare,4 Bed,2 Bath,Semi-D,121 m²,"€380,000",380000.0
"Main Street, LOUTH VILLAGE, Louth, Co. Louth", Co. Louth,,,Site,,"€95,000",95000.0
"119 Newtown Lawns, Mullingar, Co. Westmeath", Co. Westmeath,3 Bed,3 Bath,Semi-D,86 m²,"€215,000",215000.0
"29 Merton Walk, Mount St Annes, Milltown, Dublin 6", Dublin 6,2 Bed,2 Bath,Apartment,88 m²,"€475,000",475000.0
"Carriglinneen, Glenmalure, Rathdrum, Co. Wicklow", Co. Wicklow,1 Bed,,Detached,,AMV: Price on Application,0.0
"Mount st, Claremorris, Co. Mayo", Co. Mayo,,,Site,0.6 ac,"€165,000",165000.0
"Rathfeigh, Tara, Co. Meath", Co. Meath,4 Bed,2 Bath,Detached,133 m²,"€425,000",425000.0
"63 Oldwood, Athlone Road, Roscommon Town, Co. Roscommon", Co. Roscommon,2 Bed,2 Bath,Bungalow,87 m²,"€220,000",220000.0
"Garrymore Lower, Rathdrum, Co. Wicklow", Co. Wicklow,1 Bed,,Detached,,AMV: Price on Application,0.0
"17 Saint Johns Terrace, Henry Street, Co. Galway", Co. Galway,3 Bed,1 Bath,Terrace,68 m²,"€270,000",270000.0
"Claragh Scotch, Lavagh, Ballinacarrow, Co. Sligo", Co. Sligo,4 Bed,2 Bath,Detached,,"€89,000",89000.0
"Croaghross, Portsalon, Co. Donegal", Co. Donegal,3 Bed,3 Bath,Detached,142 m²,"€258,000",258000.0
"10 Orchard Way, Greenwood, Ayrfield, Dublin 13", Dublin 13,2 Bed,2 Bath,Apartment,60 m²,"€215,000",215000.0
"115 Galtymore Road, Drimnagh, Dublin 12", Dublin 12,2 Bed,1 Bath,Terrace,70 m²,"€275,000",275000.0
"66 Mount Sion Avenue, Co. Waterford", Co. Waterford,2 Bed,1 Bath,Terrace,59 m²,"€82,000",82000.0
"5 Clare Road, Drumcondra, Dublin 3", Dublin 3,3 Bed,1 Bath,Semi-D,140 m²,"€850,000",850000.0
"Sunday Cottage, Kilmaddaroe, Carrick-on-Shannon, Co. Leitrim", Co. Leitrim,3 Bed,2 Bath,Detached,154 m²,"€169,950",169950.0
"Carrigeen, Abbeylands, Kinsale, Co. Cork", Co. Cork,5 Bed,4 Bath,Detached,264 m²,"€1,200,000",1200000.0
"56 Ashton Wood, Herbert Road, Bray, Co. Wicklow", Co. Wicklow,3 Bed,1 Bath,Semi-D,86 m²,"€415,000",415000.0
