address,county,bed,bath,prop_type,area,price,price_n
"Riverview Lodge, Midleton, Co. Cork", Co. Cork,4 Bed,3 Bath,Detached,216 m²,"€420,000",420000.0
"61 Belgard Downs, Rochestown Road, Douglas, Co. Cork", Co. Cork,3 Bed,2 Bath,End of Terrace,95 m²,"€320,000",320000.0
"6 Sullivan's Lane, Barrack Street, Co. Cork", Co. Cork,2 Bed,3 Bath,Townhouse,52 m²,"€209,950",209950.0
"Auburn House, Bansha Road, Tipperary Town, Co. Tipperary", Co. Tipperary,3 Bed,2 Bath,Detached,279 m²,"€295,000",295000.0
"20 Ashbrook, Collooney, Co. Sligo", Co. Sligo,4 Bed,3 Bath,Semi-D,112 m²,"€210,000",210000.0
"Apartment 5, Grantstown House, Co. Waterford", Co. Waterford,2 Bed,1 Bath,Apartment,64 m²,"€165,000",165000.0
"18 Dun Ri, Bunratty, Co. Clare", Co. Clare,4 Bed,4 Bath,Detached,194 m²,"€525,000",525000.0
"15 Colliers Way, Kilminchy, Portlaoise, Co. Laois", Co. Laois,4 Bed,3 Bath,Detached,125 m²,"€299,999",299999.0
"66 Fernwalk, Greenfields, Ballincollig, Co. Cork", Co. Cork,4 Bed,4 Bath,Detached,193 m²,"€780,000",780000.0
"Kilkerry, Dalkey Avenue, Dalkey, Co. Dublin", Co. Dublin,4 Bed,3 Bath,Detached,236 m²,"€1,950,000",1950000.0
"85 The Rectory, Stepaside, Dublin 18", Dublin 18,2 Bed,1 Bath,Apartment,,"€295,000",295000.0
"19 Grand Canal View, D08 KW01, Kilmainham, Dublin 8", Dublin 8,1 Bed,1 Bath,Apartment,38 m²,"€245,000",245000.0
"Prospect Lodge, Carrownageelaun, Tulsk, Co. Roscommon", Co. Roscommon,3 Bed,2 Bath,Detached,177 m²,"€275,000",275000.0
"Condonstown, Midleton, Co. Cork", Co. Cork,4 Bed,4 Bath,Detached,,"€395,000",395000.0
"61 Slieve Foy Park, Muirhevnamore, Dundalk, Co. Louth", Co. Louth,3 Bed,1 Bath,Terrace,,"€130,000",130000.0
"Summer Winds, Convent Lane, Portmarnock, Co. Dublin", Co. Dublin,4 Bed,3 Bath,Detached,391 m²,"€1,500,000",1500000.0
"42 Blaeberry Walk, Castleblayney, Co. Monaghan", Co. Monaghan,3 Bed,2 Bath,Semi-D,94 m²,"€185,000",185000.0
"Hillcrest, Knockmaroon Hill, Chapelizod, Dublin 20", Dublin 20,3 Bed,2 Bath,Detached,1500 m²,"€695,000",695000.0
"Cullinagh House, Cullenagh, Kilmacthomas, Co. Waterford", Co. Waterford,3 Bed,1 Bath,Detached,127 m²,Price on Application,0.0
"Rockville, Dunbur Road, Wicklow Town, Co. Wicklow", Co. Wicklow,4 Bed,4 Bath,Detached,185 m²,"€850,000",850000.0
"Dunmore, Gaggin, Bandon, Co. Cork", Co. Cork,5 Bed,4 Bath,Detached,279 m²,"€535,000",535000.0
"100 Naas Road, Bluebell",,3 Bed,2 Bath,Semi-D,104 m²,"€400,000",400000.0
"7 Chapel Street, Sligo, Co. Sligo", Co. Sligo,4 Bed,1 Bath,Terrace,130 m²,"€129,000",129000.0
"The Rock, Tubbercurry, Co. Sligo", Co. Sligo,4 Bed,5 Bath,Detached,290 m²,"€349,000",349000.0
"Sevenoaks, 17 Saint Joseph's Lawn, Bishopstown, Co. Cork", Co. Cork,4 Bed,2 Bath,Semi-D,122 m²,"€325,000",325000.0
"Atlantic Stores, Café & Filling Station, Ballyliffin, Co. Donegal", Co. Donegal,5 Bed,1 Bath,Detached,,Price on Application,0.0
"Annies, Monaghan, Co. Monaghan", Co. Monaghan,2 Bed,1 Bath,Detached,58 m²,"AMV: €80,000",80000.0
"Clontead More, Coachford, Co. Cork", Co. Cork,5 Bed,4 Bath,Detached,218 m²,"€450,000",450000.0
"Ossoryhill, Johnswell, Co. Kilkenny", Co. Kilkenny,5 Bed,4 Bath,Detached,214 m²,"€465,000",465000.0
"3 Riverview Terrace, Spawell Road, Wexford Town, Co. Wexford", Co. Wexford,2 Bed,1 Bath,Terrace,,"€289,000",289000.0
"163 Holywell, Kilmacud Road Upper, Goatstown, Dublin 14", Dublin 14,3 Bed,3 Bath,Terrace,,"€650,000",650000.0
"Parsonstown, Mullingar, Co. Westmeath", Co. Westmeath,5 Bed,2 Bath,Detached,,"€429,950",429950.0
"10 Millbourne Avenue, Ashbourne, Co. Meath", Co. Meath,1 Bed,1 Bath,Apartment,57 m²,"€185,000",185000.0
"72 Oldcourt, Greenfield, Ballincollig, Co. Cork", Co. Cork,4 Bed,3 Bath,Semi-D,123 m²,"€435,000",435000.0
"Drumard, Moyne, Co. Longford", Co. Longford,4 Bed,2 Bath,Detached,170 m²,"€425,000",425000.0
"24 Glendaniel, Tullamore, Co. Offaly", Co. Offaly,5 Bed,4 Bath,Detached,221 m²,"€395,000",395000.0
"Portree House on c. 43 acres, Straffan, Co. Kildare", Co. Kildare,4 Bed,3 Bath,Detached,269 m²,"€2,300,000",2300000.0
"Creevagh More, Ballymahon, Co. Longford", Co. Longford,4 Bed,4 Bath,Detached,,"€400,000",400000.0
"5 The Lawn, Janeville, Carrigaline, Co. Cork", Co. Cork,4 Bed,4 Bath,Semi-D,149 m²,"€390,000",390000.0
"44 Saint Ursula's Terrace, Co. Waterford", Co. Waterford,3 Bed,2 Bath,Terrace,95 m²,"€235,000",235000.0
"58 Kilnacourt Woods, Portarlington, Co. Laois", Co. Laois,3 Bed,2 Bath,Semi-D,121 m²,"€239,000",239000.0
"Carrigogunnel, Clarina, Co. Limerick", Co. Limerick,3 Bed,2 Bath,Detached,110 m²,"€325,000",325000.0
"Burecho, Falls Road, Rathmichael, Co. Dublin", Co. Dublin,5 Bed,3 Bath,Detached,482 m²,"€1,995,000",1995000.0
"24 Crestfield Downs, Riverstown, Glanmire, Co. Cork", Co. Cork,3 Bed,1 Bath,Detached,74 m²,"€260,000",260000.0
"Strandhill Road, Strandhill, Co. Sligo", Co. Sligo,5 Bed,2 Bath,Detached,304 m²,"€525,000",525000.0
"11 Moonvoy Bridge, Tramore, Co. Waterford", Co. Waterford,5 Bed,3 Bath,Detached,240 m²,"€395,000",395000.0
"The Gables, Nova Court, Carrigaline, Co. Cork", Co. Cork,4 Bed,3 Bath,Detached,175 m²,"€495,000",495000.0
